[    6186ms] [ERROR] Permissions policy violation: unload is not allowed in this document. @ https://static.xx.fbcdn.net/rsrc.php/v4/ya/r/R1pEz0OuWy4.js:251
[ 1765403ms] [ERROR] WebSocket connection to 'wss://gateway.instagram.com/ws/realtime?x-dgw-appid=936619743392459&x-dgw-appversion=0&x-dgw-authtype=6:0&x-dgw-version=5&x-dgw-uuid=17841400228632961&x-dgw-tier=prod&x-dgw-deviceid=95bbaf5f-6b3e-45f5-91c7-6ba0273b3a36&x-dgw-app-stream-group=group1' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ https://static.cdninstagram.com/rsrc.php/v4ihzI4/y-/l/ar_AR-j/8QbXjAslTKiDxZJXgFv7TOmoajz6okWDFccwDfic9_5c66H0LeWR11YOh4gsboqYblEM3K0No-Iz7EZw0lJ8gQsNw5fzWo8l_KcxNlnXaYwdX8ZgXqPrIE3RsxkC2qPds-hHRkAEe8rT65nCg6N9uuI2AztwZjN3Taf-9fMPzT4dAxRBUrqwv7cjG6s9Z2XVpXJ9Ydfak3gOUahY3GPibIF1bYdi277ljJzKE7u.js:3439
[ 1766429ms] [ERROR] WebSocket connection to 'wss://gateway.instagram.com/ws/realtime?x-dgw-appid=936619743392459&x-dgw-appversion=0&x-dgw-authtype=6:0&x-dgw-version=5&x-dgw-uuid=17841400228632961&x-dgw-tier=prod&x-dgw-deviceid=95bbaf5f-6b3e-45f5-91c7-6ba0273b3a36&x-dgw-app-stream-group=group1' failed: Error in connection establishment: net::ERR_INTERNET_DISCONNECTED @ https://static.cdninstagram.com/rsrc.php/v4ihzI4/y-/l/ar_AR-j/8QbXjAslTKiDxZJXgFv7TOmoajz6okWDFccwDfic9_5c66H0LeWR11YOh4gsboqYblEM3K0No-Iz7EZw0lJ8gQsNw5fzWo8l_KcxNlnXaYwdX8ZgXqPrIE3RsxkC2qPds-hHRkAEe8rT65nCg6N9uuI2AztwZjN3Taf-9fMPzT4dAxRBUrqwv7cjG6s9Z2XVpXJ9Ydfak3gOUahY3GPibIF1bYdi277ljJzKE7u.js:3439
[ 1768718ms] [ERROR] WebSocket connection to 'wss://gateway.instagram.com/ws/realtime?x-dgw-appid=936619743392459&x-dgw-appversion=0&x-dgw-authtype=6:0&x-dgw-version=5&x-dgw-uuid=17841400228632961&x-dgw-tier=prod&x-dgw-deviceid=95bbaf5f-6b3e-45f5-91c7-6ba0273b3a36&x-dgw-app-stream-group=group1' failed: Error in connection establishment: net::ERR_INTERNET_DISCONNECTED @ https://static.cdninstagram.com/rsrc.php/v4ihzI4/y-/l/ar_AR-j/8QbXjAslTKiDxZJXgFv7TOmoajz6okWDFccwDfic9_5c66H0LeWR11YOh4gsboqYblEM3K0No-Iz7EZw0lJ8gQsNw5fzWo8l_KcxNlnXaYwdX8ZgXqPrIE3RsxkC2qPds-hHRkAEe8rT65nCg6N9uuI2AztwZjN3Taf-9fMPzT4dAxRBUrqwv7cjG6s9Z2XVpXJ9Ydfak3gOUahY3GPibIF1bYdi277ljJzKE7u.js:3439
[ 1772389ms] [ERROR] WebSocket connection to 'wss://edge-chat.instagram.com/chat?sid=6399332754391039&cid=6f205e0c-bae7-4e89-92b9-ac7adb175202' failed: Error in connection establishment: net::ERR_INTERNET_DISCONNECTED @ https://static.cdninstagram.com/rsrc.php/v4i0Da4/yf/l/ar_AR-j/61YBbWnd6mr0vxp9YLPFglc8keWznyIimOUwJkyN4YRWzz7eu9sWHtRfEXKxzJbolxHbiaRPfot3j0rDjgebLwkefTUkkc_iZL6JHei5fESZVHHb8YlVx9aBPGG_WDdkR4xz5-FKpqarbSbewjnNrxI9P-1lddZtQYAV2X2DfzUbIIkC_DQo6mNz8dfjIH7eB0Um0mxA7R3lyFuVBlO32-J6gITvA5y2y5Dp9Zv1I9M5Jde6MmEFPR5q90yn9RHkjR44JAmPnKjkSxn79R7OVLE6s-6C-mv_kkAv_-wGQAowUuhzlJTeDyOp3P4uIuRrw0H-RxigsP.js:981
[ 1773151ms] [ERROR] WebSocket connection to 'wss://gateway.instagram.com/ws/realtime?x-dgw-appid=936619743392459&x-dgw-appversion=0&x-dgw-authtype=6:0&x-dgw-version=5&x-dgw-uuid=17841400228632961&x-dgw-tier=prod&x-dgw-deviceid=95bbaf5f-6b3e-45f5-91c7-6ba0273b3a36&x-dgw-app-stream-group=group1' failed: Error in connection establishment: net::ERR_INTERNET_DISCONNECTED @ https://static.cdninstagram.com/rsrc.php/v4ihzI4/y-/l/ar_AR-j/8QbXjAslTKiDxZJXgFv7TOmoajz6okWDFccwDfic9_5c66H0LeWR11YOh4gsboqYblEM3K0No-Iz7EZw0lJ8gQsNw5fzWo8l_KcxNlnXaYwdX8ZgXqPrIE3RsxkC2qPds-hHRkAEe8rT65nCg6N9uuI2AztwZjN3Taf-9fMPzT4dAxRBUrqwv7cjG6s9Z2XVpXJ9Ydfak3gOUahY3GPibIF1bYdi277ljJzKE7u.js:3439
[ 1773351ms] [ERROR] WebSocket connection to 'wss://gateway.instagram.com/ws/streamcontroller?x-dgw-appid=936619743392459&x-dgw-appversion=0&x-dgw-authtype=6:0&x-dgw-version=5&x-dgw-uuid=17841400228632961&x-dgw-tier=prod&x-dgw-deviceid=da88b2be-5900-458c-9f7d-863c7ce015d7&x-dgw-app-stream-group=group1' failed: Error in connection establishment: net::ERR_INTERNET_DISCONNECTED @ https://static.cdninstagram.com/rsrc.php/v4ihzI4/y-/l/ar_AR-j/8QbXjAslTKiDxZJXgFv7TOmoajz6okWDFccwDfic9_5c66H0LeWR11YOh4gsboqYblEM3K0No-Iz7EZw0lJ8gQsNw5fzWo8l_KcxNlnXaYwdX8ZgXqPrIE3RsxkC2qPds-hHRkAEe8rT65nCg6N9uuI2AztwZjN3Taf-9fMPzT4dAxRBUrqwv7cjG6s9Z2XVpXJ9Ydfak3gOUahY3GPibIF1bYdi277ljJzKE7u.js:3439
[ 1774484ms] [ERROR] WebSocket connection to 'wss://edge-chat.instagram.com/chat?sid=5777388612878335&cid=6f205e0c-bae7-4e89-92b9-ac7adb175202' failed: Error in connection establishment: net::ERR_INTERNET_DISCONNECTED @ https://static.cdninstagram.com/rsrc.php/v4i0Da4/yf/l/ar_AR-j/61YBbWnd6mr0vxp9YLPFglc8keWznyIimOUwJkyN4YRWzz7eu9sWHtRfEXKxzJbolxHbiaRPfot3j0rDjgebLwkefTUkkc_iZL6JHei5fESZVHHb8YlVx9aBPGG_WDdkR4xz5-FKpqarbSbewjnNrxI9P-1lddZtQYAV2X2DfzUbIIkC_DQo6mNz8dfjIH7eB0Um0mxA7R3lyFuVBlO32-J6gITvA5y2y5Dp9Zv1I9M5Jde6MmEFPR5q90yn9RHkjR44JAmPnKjkSxn79R7OVLE6s-6C-mv_kkAv_-wGQAowUuhzlJTeDyOp3P4uIuRrw0H-RxigsP.js:981
[ 1775103ms] [ERROR] WebSocket connection to 'wss://gateway.instagram.com/ws/streamcontroller?x-dgw-appid=936619743392459&x-dgw-appversion=0&x-dgw-authtype=6:0&x-dgw-version=5&x-dgw-uuid=17841400228632961&x-dgw-tier=prod&x-dgw-deviceid=da88b2be-5900-458c-9f7d-863c7ce015d7&x-dgw-app-stream-group=group1' failed: Error in connection establishment: net::ERR_INTERNET_DISCONNECTED @ https://static.cdninstagram.com/rsrc.php/v4ihzI4/y-/l/ar_AR-j/8QbXjAslTKiDxZJXgFv7TOmoajz6okWDFccwDfic9_5c66H0LeWR11YOh4gsboqYblEM3K0No-Iz7EZw0lJ8gQsNw5fzWo8l_KcxNlnXaYwdX8ZgXqPrIE3RsxkC2qPds-hHRkAEe8rT65nCg6N9uuI2AztwZjN3Taf-9fMPzT4dAxRBUrqwv7cjG6s9Z2XVpXJ9Ydfak3gOUahY3GPibIF1bYdi277ljJzKE7u.js:3439
[ 1775137ms] [ERROR] WebSocket connection to 'wss://edge-chat.instagram.com/chat?sid=4097308731899903&cid=042cfc4d-064d-4dc5-962c-341fac07a020' failed: Error in connection establishment: net::ERR_INTERNET_DISCONNECTED @ https://static.cdninstagram.com/rsrc.php/v4i0Da4/yf/l/ar_AR-j/61YBbWnd6mr0vxp9YLPFglc8keWznyIimOUwJkyN4YRWzz7eu9sWHtRfEXKxzJbolxHbiaRPfot3j0rDjgebLwkefTUkkc_iZL6JHei5fESZVHHb8YlVx9aBPGG_WDdkR4xz5-FKpqarbSbewjnNrxI9P-1lddZtQYAV2X2DfzUbIIkC_DQo6mNz8dfjIH7eB0Um0mxA7R3lyFuVBlO32-J6gITvA5y2y5Dp9Zv1I9M5Jde6MmEFPR5q90yn9RHkjR44JAmPnKjkSxn79R7OVLE6s-6C-mv_kkAv_-wGQAowUuhzlJTeDyOp3P4uIuRrw0H-RxigsP.js:981
[ 1777351ms] [ERROR] WebSocket connection to 'wss://edge-chat.instagram.com/chat?sid=1783136557989887&cid=042cfc4d-064d-4dc5-962c-341fac07a020' failed: Error in connection establishment: net::ERR_INTERNET_DISCONNECTED @ https://static.cdninstagram.com/rsrc.php/v4i0Da4/yf/l/ar_AR-j/61YBbWnd6mr0vxp9YLPFglc8keWznyIimOUwJkyN4YRWzz7eu9sWHtRfEXKxzJbolxHbiaRPfot3j0rDjgebLwkefTUkkc_iZL6JHei5fESZVHHb8YlVx9aBPGG_WDdkR4xz5-FKpqarbSbewjnNrxI9P-1lddZtQYAV2X2DfzUbIIkC_DQo6mNz8dfjIH7eB0Um0mxA7R3lyFuVBlO32-J6gITvA5y2y5Dp9Zv1I9M5Jde6MmEFPR5q90yn9RHkjR44JAmPnKjkSxn79R7OVLE6s-6C-mv_kkAv_-wGQAowUuhzlJTeDyOp3P4uIuRrw0H-RxigsP.js:981
